DT,ruo,vol,T,C,MinRate,Percentile25,Percentile75,MaxRate,StatusXML,DateUpdate
12/10/2021,7.4500,225.3000,45,24,7.25,7.45,7.50,7.60,0,12/13/2021
12/9/2021,7.4900,192.8000,41,26,7.20,7.40,7.50,7.65,0,12/10/2021
12/8/2021,7.4400,115.5000,33,24,7.30,7.40,7.60,7.75,0,12/9/2021
12/7/2021,7.2400,94.7500,32,21,6.75,7.10,7.41,7.50,0,12/8/2021
12/6/2021,7.2100,136.3500,40,23,6.70,7.00,7.50,7.70,0,12/7/2021
12/3/2021,7.1600,162.7500,40,25,6.70,7.10,7.25,7.50,0,12/6/2021
12/2/2021,6.9300,156.0500,34,24,6.65,6.75,7.20,7.30,0,12/3/2021
12/1/2021,6.9300,83.9100,35,25,6.75,6.81,7.25,7.50,0,12/2/2021
11/30/2021,7.2700,177.8000,41,23,6.75,7.20,7.40,7.60,0,12/1/2021
11/29/2021,7.3600,189.2400,56,24,7.00,7.29,7.50,7.70,0,11/30/2021
11/26/2021,7.3300,127.0400,43,26,7.15,7.26,7.45,7.55,0,11/29/2021
11/25/2021,7.4900,176.3000,56,28,7.00,7.44,7.50,7.75,0,11/26/2021
11/24/2021,7.2700,223.3000,42,26,7.00,7.25,7.35,7.45,0,11/25/2021
11/23/2021,7.3000,115.1000,26,20,7.10,7.25,7.45,7.50,0,11/24/2021
11/22/2021,7.3000,180.3500,35,25,7.10,7.25,7.40,7.50,0,11/23/2021
11/19/2021,7.3900,194.3000,42,25,7.00,7.35,7.45,7.60,0,11/22/2021
11/18/2021,7.4800,161.1000,41,25,7.25,7.40,7.55,7.60,0,11/19/2021
11/17/2021,7.4400,138.7000,30,20,7.25,7.40,7.55,7.65,0,11/18/2021
11/16/2021,7.3700,118.5000,25,22,7.05,7.30,7.45,7.60,0,11/17/2021
11/15/2021,7.3200,88.2000,27,20,7.25,7.30,7.49,7.60,0,11/16/2021
11/12/2021,7.2600,138.8000,33,22,7.25,7.25,7.45,7.50,0,11/15/2021
11/11/2021,7.3200,103.4400,34,24,7.20,7.25,7.48,7.50,0,11/12/2021
